datetime;city;state;country;shape;duration (seconds);duration (hours/min);comments;date posted;latitude;longitude
10/1/2002 16:00;grants;nm;us;fireball;10;3 to 10 seconds;"In October 2002&#44 I was driving east on Interestate 40 (close to mile marker 100)&#44  when I saw a greenish &quot;comet-like&quot; shape movng very";4/22/2003;35,1472222;-107,8508333
10/1/2002 17:56;port hadlock;wa;us;fireball;5;5 seconds;big shooting star;10/15/2002;48,0319444;-122,7569444
10/1/2002 19:50;new york city (staten island);ny;us;light;900;15 min&#39s;Patrolling fighter jet followed by bright green light &#33;10/15/2002;40,7141667;-74,0063889
10/1/2002 22:00;edmonds;wa;us;unknown;60;a minute or so;three objects in perfect triangle fomation flying at extremely high altitudes;10/15/2002;47,8108333;-122,3761111
10/1/2002 22:30;riverton;ut;us;unknown;120;2 minutes;Red and blue flashing lights&#44 low to the ground&#44 behind my car on a deserted road in Riverton&#44 Utah.;8/7/2007;40,5219444;-111,9383333
10/1/2003 00:00;saco;me;us;circle;120;2 minutes;My wife and I watched a stationary bright white star much larger than a planet hover above the Ocean for about 2 minutes&#44 and then it d;10/7/2003;43,5008333;-70,4433333
10/1/2003 00:20;redmond;wa;us;light;2;2 seconds;Blue-White orb shoots across sky rapidly&#44 then disappears&#44 on an unusally clear&#44 calm night.;10/15/2003;47,6741667;-122,1202778
10/1/2003 16:00;hartland;mi;us;unknown;120;2 minutes;saucer positioned between line of sight and sun.;12/19/2003;42,6566667;-83,7530556
10/1/2003 18:00;kennesaw;ga;us;triangle;0;dusk til dawn;hovering lights;1/31/2004;34,0233333;-84,6155556
10/1/2003 20:05;san diego;ca;us;unknown;240;4 minutes;us and  the object;4/27/2007;32,7152778;-117,1563889
10/1/2003 21:00;bellevue;wa;us;light;10;8-10 seconds;Star seen in Seattle moves east then quickly fades away&#44 no meteor trail.;10/7/2003;47,6105556;-122,1994444
10/1/2003 22:00;granville;ma;us;circle;5;3-5 seconds;Clear light zig zags through night sky on clear evening;12/7/2006;42,0666667;-72,8619444
10/1/2003 23:00;circleville;oh;us;light;600;5-10 min.;Bright orange lights go on&#44 and off in Circlville&#44 OH.;1/17/2004;39,6005556;-82,9461111
10/1/2004 04:32;mt. morris;ny;us;circle;0;sunrise;moved from one point in sky to another instantly;10/27/2004;42,7255556;-77,8744444
10/1/2004 16:00;eureka;ca;us;unknown;720;10-12 minutes;Orange light cruises Humboldt Bay;2/1/2007;40,8022222;-124,1625
10/1/2004 20:27;richmond;va;us;triangle;300;5 minutes;Two triangular shaped craft with white and red lights going Northeast.;12/3/2004;37,5536111;-77,4605556
10/1/2004 20:50;tucson;az;us;unknown;1;less than 1 sec.;Tucson Mysterious Streaks of Light;10/27/2004;32,2216667;-110,9258333
10/1/2005 00:00;harrisburg;mo;us;light;2400;40 minutes;"The waves of lights seemed to materialize high in the sky and move in an &quot;ocean tidal manner&quot;  that is one wave after another&#44";12/12/2009;39,1269;-92,4399
10/1/2005 00:00;oak forest;il;us;circle;3600;1 hour;At approximitly 0:00 I spotted three red circular lights in the western skies over Oak Forest&#44 IL.  The three large red light seemed mo;10/11/2005;41,6027778;-87,7438889
10/1/2005 00:30;oak forest;il;us;light;3600;hour;I saw the three red lights in the sky over Oak Forest Illinois. They flashed like beacons. This happened around 12:30am;10/11/2005;41,6027778;-87,7438889
10/1/2005 00:53;tinley park;il;us;circle;1200;15-20 minutes;3 red lights over Tinley Park;10/11/2005;41,5733333;-87,7844444
10/1/2005 00:57;orland park;il;us;light;420;7 minutes;Red lights in sky over Orland Park&#44 Illinois;10/11/2005;41,6302778;-87,8538889
10/1/2005 00:57;orland park;il;us;light;6;:06;Red lights over Orland Park;10/11/2005;41,6302778;-87,8538889
10/1/2005 01:00;midlothian;il;us;light;1500;20-25minutes;Red lights&#44 southland Chicago;10/11/2005;41,6252778;-87,7175
10/1/2005 01:00;oak forest;il;us;light;600;five to ten minutes;That night after closing my garage door I glanced as I normally do towards the North Star..to my amazement just west of the North star;10/11/2005;41,6027778;-87,7438889
10/1/2005 01:00;tinley park;il;us;circle;600;10 mins;Three red blinking dots in the sky that hoovered unlike an airplane that I know of.;10/11/2005;41,5733333;-87,7844444
10/1/2005 01:00;tinley park;il;us;circle;600;10 minutes;3 red lights in Tinley Park sky;10/11/2005;41,5733333;-87,7844444
10/1/2005 01:00;tinley park;il;us;triangle;0;?;3 red lights in a triagular shape that held position for awhile&#44 then one light flew off very quickly;10/11/2005;41,5733333;-87,7844444
10/1/2005 01:00;tinley park;il;us;triangle;0;;3 red lights in Tinley Park;10/11/2005;41,5733333;-87,7844444
10/1/2005 01:00;tinley park;il;us;triangle;1800;30 min +;I saw 3 red flashing/blinking  lights in sky 1:00am 10-1-05 over Tinley Park IL;10/11/2005;41,5733333;-87,7844444
10/1/2005 01:00;tinley park;il;us;triangle;900;15 mins.;saw three red glowing lights in the sky above&#44 in Tinley park Il.;10/11/2005;41,5733333;-87,7844444
10/1/2005 01:03;oak forest;il;us;light;1200;20:00 minutes;red dots seen in sky formed triangle;10/11/2005;41,6027778;-87,7438889
10/1/2005 01:08;evergreen park;il;us;light;480;8 minutes;Two red lights sitting in the sky&#44 but I couldn&#39t not make out an object.;10/11/2005;41,7205556;-87,7016667
